"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0021979","BP","GO:0021979","hypothalamus cell differentiation",13,0.838030663063263,1.65986919865939,0.00421940928270042,0.00421940928270042,0.1656139226451,9255,"tags=77%, list=12%, signal=68%","NRP1/HAP1/NRP2/POU3F2/PLXNA1/PROP1/NDNF/PLXNA3/SEMA3E/OTP"
"GO:0033151","BP","GO:0033151","V(D)J recombination",17,0.781058843527476,1.65358010290573,0.00813008130081301,0.00813008130081301,0.219214526241372,8057,"tags=59%, list=10%, signal=53%","RAG2/RAG1/LEF1/LIG4/HMGB1/TCF3/DCLRE1C/POLB/ATM/CYREN"
"GO:0021854","BP","GO:0021854","hypothalamus development",30,0.694982888269673,1.61892207929594,0.0111111111111111,0.0111111111111111,0.254274229746682,12190,"tags=47%, list=16%, signal=39%","NRP1/HAP1/NRP2/POU3F2/PLXNA1/PROP1/NDNF/PLXNA3/SRD5A1/SEMA3E/OTP/CTNNB1/RAB3GAP1/PRDM13"
"GO:0070989","BP","GO:0070989","oxidative demethylation",10,0.852744147586277,1.60981971934094,0.0144927536231884,0.0144927536231884,0.280430439185531,2509,"tags=30%, list=3%, signal=29%","CYP2C8/CYP2C9/CYP1A2"
"GO:0051378","MF","GO:0051378","serotonin binding",10,0.852547993362257,1.60944941725355,0.0144927536231884,0.0144927536231884,0.280430439185531,8275,"tags=40%, list=11%, signal=36%","HTR3A/HTR1F/HTR2A/HTR2C"
"GO:0060290","BP","GO:0060290","transdifferentiation",9,0.877207418653174,1.60081623861147,0.00622406639004149,0.00622406639004149,0.195438172615214,2873,"tags=56%, list=4%, signal=54%","TERT/CD34/PDX1/GATA4/SMAD3"
"GO:0030517","BP","GO:0030517","negative regulation of axon extension",33,0.666259683587078,1.58904801617587,0.0154185022026432,0.0154185022026432,0.286156282178314,7885,"tags=39%, list=10%, signal=35%","NRP1/DRAXIN/SEMA6C/BCL11A/SEMA3F/RTN4R/MAG/SEMA5A/MAP2/SEMA3G/ARHGAP4/PLXNA3/WNT3A"
"GO:0002329","BP","GO:0002329","pre-B cell differentiation",7,0.91227669642788,1.58382420124896,0.00617283950617284,0.00617283950617284,0.194321581355155,954,"tags=43%, list=1%, signal=42%","RAG2/RAG1/IGHM"
"GO:0090399","BP","GO:0090399","replicative senescence",17,0.745741188384171,1.57880907597196,0.0223577235772358,0.0223577235772358,0.345337952298052,10428,"tags=47%, list=13%, signal=41%","MME/TERT/SERPINE1/CDKN1A/CTC1/ATM/ATR/TP53"
"GO:0000782","CC","GO:0000782","telomere cap complex",13,0.796849123747002,1.57830181493792,0.0210970464135021,0.0210970464135021,0.336809363192716,5786,"tags=38%, list=7%, signal=36%","TERT/TERF2/CTC1/TERB1/TERF1"
"GO:0000783","CC","GO:0000783","nuclear telomere cap complex",13,0.796849123747002,1.57830181493792,0.0210970464135021,0.0210970464135021,0.336809363192716,5786,"tags=38%, list=7%, signal=36%","TERT/TERF2/CTC1/TERB1/TERF1"
"GO:0051291","BP","GO:0051291","protein heterooligomerization",32,0.664822935937381,1.57780471885057,0.0152505446623094,0.0152505446623094,0.286156282178314,2647,"tags=19%, list=3%, signal=18%","GRIN2B/SYT1/GRIN1/COL1A2/CALHM3/GRIA3"
"GO:0033695","MF","GO:0033695","oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor",4,0.959812478790298,1.57466984670973,0.00394477317554241,0.00394477317554241,0.160061400112748,2509,"tags=75%, list=3%, signal=73%","CYP2C8/CYP2C9/CYP1A2"
"GO:0034875","MF","GO:0034875","caffeine oxidase activity",4,0.959812478790298,1.57466984670973,0.00394477317554241,0.00394477317554241,0.160061400112748,2509,"tags=75%, list=3%, signal=73%","CYP2C8/CYP2C9/CYP1A2"
"GO:1903237","BP","GO:1903237","negative regulation of leukocyte tethering or rolling",4,0.955277962571255,1.56723051234251,0.00591715976331361,0.00591715976331361,0.192440232959983,2379,"tags=75%, list=3%, signal=73%","CXCL12/CCL28/CCL25"
"GO:0086075","MF","GO:0086075","gap junction channel activity involved in cardiac conduction electrical coupling",4,0.953067254128906,1.56360362063089,0.00591715976331361,0.00591715976331361,0.192440232959983,1151,"tags=50%, list=1%, signal=49%","GJC1/GJA1"
"GO:0002331","BP","GO:0002331","pre-B cell allelic exclusion",4,0.952881550444524,1.56329895487724,0.00591715976331361,0.00591715976331361,0.192440232959983,954,"tags=75%, list=1%, signal=74%","RAG2/RAG1/IGHM"
"GO:2000987","BP","GO:2000987","positive regulation of behavioral fear response",7,0.898475985551075,1.55986447503134,0.00823045267489712,0.00823045267489712,0.220937550172329,6521,"tags=71%, list=8%, signal=65%","MEF2C/PENK/NPAS2/GRP/GRPR"
"GO:0051611","BP","GO:0051611","regulation of serotonin uptake",4,0.950000229234541,1.55857185481519,0.00591715976331361,0.00591715976331361,0.192440232959983,114,"tags=25%, list=0%, signal=25%","GPM6B"
"GO:0003418","BP","GO:0003418","growth plate cartilage chondrocyte differentiation",10,0.824676288056322,1.55683290743621,0.0227743271221532,0.0227743271221532,0.348517526195013,3991,"tags=30%, list=5%, signal=28%","NPPC/COL27A1/MATN1"
"GO:0010922","BP","GO:0010922","positive regulation of phosphatase activity",4,0.946717781703549,1.55318666628652,0.00788954635108481,0.00788954635108481,0.219214526241372,2655,"tags=50%, list=3%, signal=48%","BMP2/GPLD1"
"GO:1903367","BP","GO:1903367","positive regulation of fear response",8,0.873616955632229,1.55201965515914,0.00824742268041237,0.00824742268041237,0.220937550172329,6521,"tags=62%, list=8%, signal=57%","MEF2C/PENK/NPAS2/GRP/GRPR"
"GO:2001013","BP","GO:2001013","epithelial cell proliferation involved in renal tubule morphogenesis",5,0.922200146307417,1.5501696137244,0.008,0.008,0.219214526241372,395,"tags=40%, list=1%, signal=40%","LGR5/MEF2C"
"GO:0043176","MF","GO:0043176","amine binding",14,0.769911113696075,1.54575582585452,0.0317796610169492,0.0317796610169492,0.402669170060588,8275,"tags=43%, list=11%, signal=38%","HTR3A/SLC6A3/HTR1F/HTR2A/AMD1/HTR2C"
"GO:0090289","BP","GO:0090289","regulation of osteoclast proliferation",7,0.889168054023865,1.54370476463417,0.00823045267489712,0.00823045267489712,0.220937550172329,3917,"tags=29%, list=5%, signal=27%","GREM1/OCSTAMP"
"GO:0021855","BP","GO:0021855","hypothalamus cell migration",8,0.865560712147986,1.53770737773173,0.0164948453608247,0.0164948453608247,0.296075501388678,8677,"tags=75%, list=11%, signal=67%","NRP1/NRP2/PLXNA1/NDNF/PLXNA3/SEMA3E"
"GO:0001842","BP","GO:0001842","neural fold formation",8,0.864802707438204,1.53636074841015,0.0164948453608247,0.0164948453608247,0.296075501388678,5200,"tags=62%, list=7%, signal=58%","CECR2/OVOL2/LUZP1/BMP5/CFL1"
"GO:0048790","BP","GO:0048790","maintenance of presynaptic active zone structure",8,0.864266556331649,1.53540825195259,0.0164948453608247,0.0164948453608247,0.296075501388678,470,"tags=25%, list=1%, signal=25%","PCLO/RIMS3"
"GO:0097491","BP","GO:0097491","sympathetic neuron projection guidance",4,0.930808339113161,1.52708561000871,0.0157790927021696,0.0157790927021696,0.290371777775519,1732,"tags=75%, list=2%, signal=73%","NRP1/NRP2/SEMA3F"
"GO:0097211","BP","GO:0097211","cellular response to gonadotropin-releasing hormone",5,0.907812816027535,1.5259852733599,0.012,0.012,0.258399122807018,1772,"tags=40%, list=2%, signal=39%","UMODL1/GPR173"
"GO:0061026","BP","GO:0061026","cardiac muscle tissue regeneration",8,0.857235647796973,1.52291752799274,0.0206185567010309,0.0206185567010309,0.332988560318322,4068,"tags=50%, list=5%, signal=47%","GATA4/YAP1/CDKN1A/CDKN1B"
"GO:0060847","BP","GO:0060847","endothelial cell fate specification",4,0.927541423080381,1.52172590248018,0.0177514792899408,0.0177514792899408,0.302129582357071,4065,"tags=75%, list=5%, signal=71%","NRP1/DLL1/HOXA13"
"GO:0005583","CC","GO:0005583","fibrillar collagen trimer",11,0.793119122807024,1.52015130729058,0.0351239669421488,0.0351239669421488,0.415725084455735,2438,"tags=55%, list=3%, signal=53%","COL27A1/COL1A2/COL5A1/COL1A1/COL3A1/COL11A1"
"GO:0098643","CC","GO:0098643","fibrillar collagen",11,0.793119122807024,1.52015130729058,0.0351239669421488,0.0351239669421488,0.415725084455735,2438,"tags=55%, list=3%, signal=53%","COL27A1/COL1A2/COL5A1/COL1A1/COL3A1/COL11A1"
"GO:0071755","CC","GO:0071755","IgM B cell receptor complex",3,0.987871908994682,1.51961727441496,0.00196078431372549,0.00196078431372549,0.146567851847429,954,"tags=100%, list=1%, signal=99%","CD79B/CD79A/IGHM"
"GO:0001791","MF","GO:0001791","IgM binding",6,0.891481152248556,1.51242661021245,0.0199600798403194,0.0199600798403194,0.323677062126153,4975,"tags=50%, list=6%, signal=47%","CD22/LILRA2/FCMR"
"GO:0140445","CC","GO:0140445","chromosome, telomeric repeat region",14,0.753015303086721,1.51183399096041,0.0360169491525424,0.0360169491525424,0.418894699958183,5786,"tags=36%, list=7%, signal=33%","TERT/TERF2/CTC1/TERB1/TERF1"
"GO:0098882","MF","GO:0098882","structural constituent of presynaptic active zone",7,0.870340505380702,1.51101783170253,0.0205761316872428,0.0205761316872428,0.332736649517302,470,"tags=29%, list=1%, signal=28%","PCLO/RIMS3"
"GO:0070828","BP","GO:0070828","heterochromatin organization",12,0.771246268827822,1.50934744193499,0.0397489539748954,0.0397489539748954,0.437844184992234,6348,"tags=50%, list=8%, signal=46%","MECOM/LOXL2/SNAI1/SETD7/SETDB2/DMRTC2"
"GO:0021828","BP","GO:0021828","gonadotrophin-releasing hormone neuronal migration to the hypothalamus",6,0.889414615482719,1.508920663746,0.0199600798403194,0.0199600798403194,0.323677062126153,8677,"tags=100%, list=11%, signal=89%","NRP1/NRP2/PLXNA1/NDNF/PLXNA3/SEMA3E"
"GO:0021856","BP","GO:0021856","hypothalamic tangential migration using cell-axon interactions",6,0.889414615482719,1.508920663746,0.0199600798403194,0.0199600798403194,0.323677062126153,8677,"tags=100%, list=11%, signal=89%","NRP1/NRP2/PLXNA1/NDNF/PLXNA3/SEMA3E"
"GO:0099104","MF","GO:0099104","potassium channel activator activity",9,0.826318363045436,1.50794877664957,0.033195020746888,0.033195020746888,0.407646617468036,6689,"tags=44%, list=9%, signal=41%","LRRC38/FHL1/LRRC55/ANK2"
"GO:0035720","BP","GO:0035720","intraciliary anterograde transport",19,0.699592268132232,1.50680309754498,0.029535864978903,0.029535864978903,0.393066520269272,19839,"tags=89%, list=25%, signal=67%","CILK1/IFT46/IFT81/IFT56/IFT22/IFT172/CLUAP1/TRAF3IP1/CCDC38/IFT88/IFT27/IFT57/IFT52/IFT20/IFT74/IFT122/IFT80"
"GO:0048631","BP","GO:0048631","regulation of skeletal muscle tissue growth",7,0.867593150592182,1.50624808693046,0.0205761316872428,0.0205761316872428,0.332736649517302,4632,"tags=57%, list=6%, signal=54%","TLL2/DLL1/ACTN3/IGF2"
"GO:0033605","BP","GO:0033605","positive regulation of catecholamine secretion",12,0.768864877919533,1.50468700282371,0.0397489539748954,0.0397489539748954,0.437844184992234,7156,"tags=50%, list=9%, signal=45%","SYT1/CXCL12/STX1A/OPRK1/KCNB1/GRK2"
"GO:0036486","BP","GO:0036486","ventral trunk neural crest cell migration",3,0.977950084807366,1.50435479423765,0.00392156862745098,0.00392156862745098,0.160061400112748,1732,"tags=100%, list=2%, signal=98%","NRP1/NRP2/SEMA3F"
"GO:0035054","BP","GO:0035054","embryonic heart tube anterior/posterior pattern specification",3,0.977937331819979,1.50433517665388,0.00392156862745098,0.00392156862745098,0.160061400112748,1733,"tags=100%, list=2%, signal=98%","BMP2/FOXH1/GATA4"
"GO:0090291","BP","GO:0090291","negative regulation of osteoclast proliferation",3,0.976247896633806,1.50173636311385,0.00392156862745098,0.00392156862745098,0.160061400112748,22,"tags=33%, list=0%, signal=33%","GREM1"
"GO:0000805","CC","GO:0000805","X chromosome",11,0.782946928268134,1.50065452000901,0.0413223140495868,0.0413223140495868,0.443457452570446,14658,"tags=82%, list=19%, signal=67%","MACROH2A2/FIRRE/LRIF1/SIN3B/H3-3B/SMCHD1/PCGF5/H3-3A/PCGF3"
"GO:0001594","MF","GO:0001594","trace-amine receptor activity",8,0.843988587989742,1.49938353284608,0.0309278350515464,0.0309278350515464,0.398755531690963,6017,"tags=38%, list=8%, signal=35%","OR5AN1/TAAR1/TAAR5"
"GO:0034061","MF","GO:0034061","DNA polymerase activity",30,0.643488748946058,1.49896948691932,0.0288888888888889,0.0288888888888889,0.388112933847875,11028,"tags=37%, list=14%, signal=32%","DNTT/TERT/TERF2/TERF1/POLB/TEP1/REV3L/POLG2/POLH/POLE/PTGES3"
"GO:0061302","BP","GO:0061302","smooth muscle cell-matrix adhesion",6,0.883297755978428,1.49854321374396,0.0219560878243513,0.0219560878243513,0.340832070132839,2052,"tags=50%, list=3%, signal=49%","APOD/DDR1/SERPINE1"
"GO:0021886","BP","GO:0021886","hypothalamus gonadotrophin-releasing hormone neuron differentiation",8,0.842989554129218,1.49760870444136,0.0309278350515464,0.0309278350515464,0.398755531690963,8677,"tags=75%, list=11%, signal=67%","NRP1/NRP2/PLXNA1/NDNF/PLXNA3/SEMA3E"
"GO:0021888","BP","GO:0021888","hypothalamus gonadotrophin-releasing hormone neuron development",8,0.842989554129218,1.49760870444136,0.0309278350515464,0.0309278350515464,0.398755531690963,8677,"tags=75%, list=11%, signal=67%","NRP1/NRP2/PLXNA1/NDNF/PLXNA3/SEMA3E"
"GO:1990399","BP","GO:1990399","epithelium regeneration",4,0.912369166836285,1.49683427526958,0.0335305719921105,0.0335305719921105,0.408531413279948,3714,"tags=50%, list=5%, signal=48%","ASCL3/DUSP10"
"GO:0033595","BP","GO:0033595","response to genistein",5,0.889192537130652,1.49468557051275,0.036,0.036,0.418894699958183,3448,"tags=60%, list=4%, signal=57%","CYP1A1/UGT3A2/MMP14"
"GO:1990907","CC","GO:1990907","beta-catenin-TCF complex",13,0.754346097678606,1.49411699100455,0.0443037974683544,0.0443037974683544,0.458312932320603,11997,"tags=62%, list=15%, signal=52%","LEF1/TCF7L2/TCF4/TCF7L1/CTNNB1/BCL9/BCL9L/TCF7"
"GO:0015467","MF","GO:0015467","G-protein activated inward rectifier potassium channel activity",4,0.910689690353517,1.49407892353774,0.0355029585798817,0.0355029585798817,0.417639352309878,7007,"tags=100%, list=9%, signal=91%","KCNJ6/KCNJ5/KCNJ9/KCNJ3"
"GO:1902490","BP","GO:1902490","regulation of sperm capacitation",6,0.877720002316603,1.48908037424132,0.0219560878243513,0.0219560878243513,0.340832070132839,3436,"tags=33%, list=4%, signal=32%","TCP11/TMPRSS12"
"GO:0033594","BP","GO:0033594","response to hydroxyisoflavone",6,0.876877059110999,1.48765029382758,0.0219560878243513,0.0219560878243513,0.340832070132839,3448,"tags=50%, list=4%, signal=48%","CYP1A1/UGT3A2/MMP14"
"GO:0080025","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate binding",29,0.641939436005781,1.48731585744698,0.0381165919282511,0.0381165919282511,0.430131807100114,6239,"tags=31%, list=8%, signal=29%","RAG2/KIF16B/HIP1R/PLA2G4E/JPH2/CLVS2/PLEKHA5/WDR45B/WDR45"
"GO:0005176","MF","GO:0005176","ErbB-2 class receptor binding",3,0.966825735815372,1.48724250190407,0.00588235294117647,0.00588235294117647,0.192440232959983,291,"tags=33%, list=0%, signal=33%","MUC4"
"GO:0140002","MF","GO:0140002","histone H3K4me3 reader activity",26,0.65095877957614,1.48594458499217,0.0323275862068966,0.0323275862068966,0.402669170060588,10369,"tags=38%, list=13%, signal=33%","RAG2/PYGO1/MORC4/SPIN1/KMT2E/PHF8/CHD1/ING5/TAF3/ING4"
"GO:0008269","MF","GO:0008269","JAK pathway signal transduction adaptor activity",3,0.964491583325054,1.48365193675781,0.00588235294117647,0.00588235294117647,0.192440232959983,400,"tags=33%, list=1%, signal=33%","SOCS2"
"GO:0032331","BP","GO:0032331","negative regulation of chondrocyte differentiation",25,0.653163307893018,1.48363715752397,0.0377358490566038,0.0377358490566038,0.430131807100114,10207,"tags=48%, list=13%, signal=42%","GREM1/NR5A2/WNT9A/CCN4/GDF5/PTHLH/ADAMTS12/RARB/SNAI2/ADAMTS7/GLI3/CTNNB1"
"GO:0035789","BP","GO:0035789","metanephric mesenchymal cell migration",4,0.904268745791661,1.48354471189497,0.0453648915187377,0.0453648915187377,0.460040721588103,3543,"tags=50%, list=5%, signal=48%","PDGFA/PDGFRB"
"GO:2000589","BP","GO:2000589","regulation of metanephric mesenchymal cell migration",4,0.904268745791661,1.48354471189497,0.0453648915187377,0.0453648915187377,0.460040721588103,3543,"tags=50%, list=5%, signal=48%","PDGFA/PDGFRB"
"GO:0051581","BP","GO:0051581","negative regulation of neurotransmitter uptake",3,0.96438136741697,1.48348239453648,0.00588235294117647,0.00588235294117647,0.192440232959983,114,"tags=33%, list=0%, signal=33%","GPM6B"
"GO:0051612","BP","GO:0051612","negative regulation of serotonin uptake",3,0.96438136741697,1.48348239453648,0.00588235294117647,0.00588235294117647,0.192440232959983,114,"tags=33%, list=0%, signal=33%","GPM6B"
"GO:0005954","CC","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",5,0.881940634488706,1.48249550617341,0.044,0.044,0.457450919839414,1361,"tags=60%, list=2%, signal=59%","CAMK2B/CAMK2A/CAMK2D"
"GO:0031443","BP","GO:0031443","fast-twitch skeletal muscle fiber contraction",3,0.960338209225511,1.47726291104374,0.00588235294117647,0.00588235294117647,0.192440232959983,3113,"tags=100%, list=4%, signal=96%","SYNM/ATP2A1/ACTN3"
"GO:0060200","CC","GO:0060200","clathrin-sculpted acetylcholine transport vesicle",3,0.959954792465633,1.47667311116553,0.00588235294117647,0.00588235294117647,0.192440232959983,345,"tags=33%, list=0%, signal=33%","SYT1"
"GO:0060201","CC","GO:0060201","clathrin-sculpted acetylcholine transport vesicle membrane",3,0.959954792465633,1.47667311116553,0.00588235294117647,0.00588235294117647,0.192440232959983,345,"tags=33%, list=0%, signal=33%","SYT1"
"GO:0009756","BP","GO:0009756","carbohydrate mediated signaling",12,0.754168763211634,1.47592635393984,0.0460251046025105,0.0460251046025105,0.460040721588103,11858,"tags=58%, list=15%, signal=50%","COLEC12/PDX1/SMARCB1/SMARCA4/ADCY8/PIH1D1/USF1"
"GO:1990851","CC","GO:1990851","Wnt-Frizzled-LRP5/6 complex",4,0.899492424628883,1.47570867196069,0.0473372781065089,0.0473372781065089,0.461581552407311,7885,"tags=100%, list=10%, signal=90%","FZD8/LRP6/LRP5/WNT3A"
"GO:0032289","BP","GO:0032289","central nervous system myelin formation",6,0.86982633805469,1.4756885174963,0.029940119760479,0.029940119760479,0.394216595304196,2551,"tags=33%, list=3%, signal=32%","TENM4/MAG"
"GO:2000111","BP","GO:2000111","positive regulation of macrophage apoptotic process",3,0.95924670765744,1.47558388300094,0.00588235294117647,0.00588235294117647,0.192440232959983,395,"tags=33%, list=1%, signal=33%","MEF2C"
"GO:1903818","BP","GO:1903818","positive regulation of voltage-gated potassium channel activity",4,0.899394863990041,1.47554861382474,0.0473372781065089,0.0473372781065089,0.461581552407311,12,"tags=25%, list=0%, signal=25%","LRRC38"
"GO:0060482","BP","GO:0060482","lobar bronchus development",6,0.869547783928809,1.47521594141176,0.029940119760479,0.029940119760479,0.394216595304196,3406,"tags=33%, list=4%, signal=32%","AGR2/ADAMTSL2"
"GO:0035788","BP","GO:0035788","cell migration involved in metanephros development",5,0.877451775743649,1.47494997231642,0.048,0.048,0.462746843479798,3543,"tags=40%, list=5%, signal=38%","PDGFA/PDGFRB"
"GO:0032783","CC","GO:0032783","super elongation complex",5,0.877012344510187,1.47421131168167,0.048,0.048,0.462746843479798,7625,"tags=60%, list=10%, signal=54%","AFF3/AFF1/AFF4"
"GO:0035989","BP","GO:0035989","tendon development",7,0.849114967275495,1.47416769504203,0.0349794238683128,0.0349794238683128,0.415725084455735,2438,"tags=43%, list=3%, signal=42%","COL5A1/NR5A2/COL11A1"
"GO:1904480","BP","GO:1904480","positive regulation of intestinal absorption",4,0.8984400781498,1.47398219068906,0.0473372781065089,0.0473372781065089,0.461581552407311,3491,"tags=50%, list=4%, signal=48%","PRAP1/ENPP7"
"GO:1904731","BP","GO:1904731","positive regulation of intestinal lipid absorption",4,0.8984400781498,1.47398219068906,0.0473372781065089,0.0473372781065089,0.461581552407311,3491,"tags=50%, list=4%, signal=48%","PRAP1/ENPP7"
"GO:0051729","BP","GO:0051729","germline cell cycle switching, mitotic to meiotic cell cycle",3,0.957824689150472,1.47339642947782,0.00588235294117647,0.00588235294117647,0.192440232959983,1435,"tags=33%, list=2%, signal=33%","OVOL1"
"GO:0060912","BP","GO:0060912","cardiac cell fate specification",3,0.957577384691855,1.47301600755881,0.00588235294117647,0.00588235294117647,0.192440232959983,464,"tags=33%, list=1%, signal=33%","TENM4"
"GO:1902951","BP","GO:1902951","negative regulation of dendritic spine maintenance",6,0.867760829832778,1.47218431598788,0.0339321357285429,0.0339321357285429,0.41180590718861,5200,"tags=50%, list=7%, signal=47%","GRIN2B/PRNP/CFL1"
"GO:0032982","CC","GO:0032982","myosin filament",24,0.655310894145749,1.4704095851966,0.046218487394958,0.046218487394958,0.460040721588103,7519,"tags=33%, list=10%, signal=30%","MYO18B/ACTG2/MYBPC2/MYO18A/MYOM2/MYOM1/MYH11/MYH6"
"GO:0005298","MF","GO:0005298","proline:sodium symporter activity",5,0.872950989672933,1.46738438925656,0.048,0.048,0.462746843479798,7682,"tags=80%, list=10%, signal=72%","SLC38A1/SLC6A20/SLC6A7/SLC6A15"
"GO:1901166","BP","GO:1901166","neural crest cell migration involved in autonomic nervous system development",6,0.864209649361953,1.46615962345435,0.0359281437125748,0.0359281437125748,0.418894699958183,6613,"tags=67%, list=8%, signal=61%","NRP1/NRP2/SEMA3F/FN1"
"GO:0003720","MF","GO:0003720","telomerase activity",7,0.843412208512963,1.46426700660249,0.037037037037037,0.037037037037037,0.426003676354758,11028,"tags=71%, list=14%, signal=61%","TERT/TERF2/TERF1/TEP1/PTGES3"
"GO:0009698","BP","GO:0009698","phenylpropanoid metabolic process",7,0.842844904007168,1.46328209642198,0.0390946502057613,0.0390946502057613,0.433510114806782,4511,"tags=29%, list=6%, signal=27%","CYP1A1/CYP2A13"
"GO:0009804","BP","GO:0009804","coumarin metabolic process",7,0.842844904007168,1.46328209642198,0.0390946502057613,0.0390946502057613,0.433510114806782,4511,"tags=29%, list=6%, signal=27%","CYP1A1/CYP2A13"
"GO:0120077","BP","GO:0120077","angiogenic sprout fusion",3,0.95121351738088,1.46322663850216,0.0117647058823529,0.0117647058823529,0.256449041553538,235,"tags=33%, list=0%, signal=33%","SEMA6A"
"GO:0120078","BP","GO:0120078","cell adhesion involved in sprouting angiogenesis",3,0.95121351738088,1.46322663850216,0.0117647058823529,0.0117647058823529,0.256449041553538,235,"tags=33%, list=0%, signal=33%","SEMA6A"
"GO:0060481","BP","GO:0060481","lobar bronchus epithelium development",5,0.869909746418743,1.46227222038577,0.05,0.05,0.471961868140671,3406,"tags=40%, list=4%, signal=38%","AGR2/ADAMTSL2"
"GO:0035306","BP","GO:0035306","positive regulation of dephosphorylation",6,0.861616481365378,1.46176023007078,0.0379241516966068,0.0379241516966068,0.430131807100114,5324,"tags=50%, list=7%, signal=47%","BMP2/GPLD1/SRC"
"GO:0018894","BP","GO:0018894","dibenzo-p-dioxin metabolic process",3,0.950006037720456,1.46136920442212,0.0137254901960784,0.0137254901960784,0.275914784577996,2509,"tags=67%, list=3%, signal=65%","CYP1A1/CYP1A2"
"GO:0010603","BP","GO:0010603","regulation of cytoplasmic mRNA processing body assembly",8,0.820977456564995,1.45850322709147,0.0474226804123711,0.0474226804123711,0.46205105494602,9808,"tags=50%, list=13%, signal=44%","PAN3/NBDY/CNOT2/CNOT6L"
"GO:0031735","MF","GO:0031735","CCR10 chemokine receptor binding",3,0.945920540145631,1.45508459137385,0.0235294117647059,0.0235294117647059,0.353315991874002,2379,"tags=67%, list=3%, signal=65%","CXCL13/CCL25"
"GO:2000543","BP","GO:2000543","positive regulation of gastrulation",7,0.836860774379385,1.45289291366087,0.0411522633744856,0.0411522633744856,0.442563488954827,7734,"tags=43%, list=10%, signal=39%","TENM4/OSR1/LHX1"
"GO:0034436","BP","GO:0034436","glycoprotein transport",3,0.943479898785894,1.45133021721143,0.0254901960784314,0.0254901960784314,0.369776522489574,3827,"tags=67%, list=5%, signal=63%","VLDLR/ABCG1"
"GO:0021542","BP","GO:0021542","dentate gyrus development",26,0.635593651181847,1.45087058330181,0.0495689655172414,0.0495689655172414,0.471600400123616,10329,"tags=38%, list=13%, signal=33%","LEF1/LARGE1/LMX1A/PIANP/NR2E1/TUBA1A/CDK6/ATAT1/POMT2/PTEN"
"GO:1990384","BP","GO:1990384","hyaloid vascular plexus regression",7,0.8353896881836,1.45033892765188,0.0432098765432099,0.0432098765432099,0.451507094673562,6215,"tags=43%, list=8%, signal=39%","SLC6A3/OPN5/FLT1"
"GO:0060846","BP","GO:0060846","blood vessel endothelial cell fate commitment",3,0.942098816882987,1.44920573538547,0.0254901960784314,0.0254901960784314,0.369776522489574,2632,"tags=67%, list=3%, signal=64%","NRP1/DLL1"
"GO:0097101","BP","GO:0097101","blood vessel endothelial cell fate specification",3,0.942098816882987,1.44920573538547,0.0254901960784314,0.0254901960784314,0.369776522489574,2632,"tags=67%, list=3%, signal=64%","NRP1/DLL1"
"GO:2001222","BP","GO:2001222","regulation of neuron migration",55,0.553246577857698,1.44701123929236,0.0273972602739726,0.0273972602739726,0.379678821297523,8269,"tags=33%, list=11%, signal=29%","IGSF10/SEMA6A/KIF26A/NEXMIF/NTNG1/CAMK2B/COL3A1/PHACTR1/CAMK2A/GPR173/PLXNB2/FLRT2/KIF20B/TBC1D24/DAB2IP/NIPBL/ULK4/CUL5"
"GO:0038160","BP","GO:0038160","CXCL12-activated CXCR4 signaling pathway",6,0.85248286363318,1.44626475215648,0.0499001996007984,0.0499001996007984,0.471961868140671,1137,"tags=17%, list=1%, signal=16%","CXCL12"
"GO:0035793","BP","GO:0035793","positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway",3,0.938038368002764,1.44295965408274,0.0313725490196078,0.0313725490196078,0.402669170060588,3543,"tags=67%, list=5%, signal=64%","PDGFA/PDGFRB"
"GO:1900238","BP","GO:1900238","regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway",3,0.938038368002764,1.44295965408274,0.0313725490196078,0.0313725490196078,0.402669170060588,3543,"tags=67%, list=5%, signal=64%","PDGFA/PDGFRB"
"GO:2000591","BP","GO:2000591","positive regulation of metanephric mesenchymal cell migration",3,0.938038368002764,1.44295965408274,0.0313725490196078,0.0313725490196078,0.402669170060588,3543,"tags=67%, list=5%, signal=64%","PDGFA/PDGFRB"
"GO:0070576","MF","GO:0070576","vitamin D 24-hydroxylase activity",3,0.934648592804328,1.43774525239662,0.0333333333333333,0.0333333333333333,0.408531413279948,1107,"tags=33%, list=1%, signal=33%","CYP1A1"
"GO:0072137","BP","GO:0072137","condensed mesenchymal cell proliferation",3,0.934622734855391,1.43770547579651,0.0333333333333333,0.0333333333333333,0.408531413279948,3176,"tags=67%, list=4%, signal=64%","DCHS1/DCHS2"
"GO:0034439","BP","GO:0034439","lipoprotein lipid oxidation",3,0.929507429119126,1.42983673604395,0.0352941176470588,0.0352941176470588,0.415725084455735,899,"tags=33%, list=1%, signal=33%","APOD"
