"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140975","BP","GO:0140975","disruption of cellular anatomical structure in another organism",6,-0.967611341960442,-1.65733907309024,0.00199600798403194,0.00199600798403194,0.146567851847429,2024,"tags=83%, list=3%, signal=81%","DEFA5/DEFA3/DEFA1/DEFA1B/DEFA4"
"GO:0019864","MF","GO:0019864","IgG binding",13,-0.842451950663899,-1.6580118629013,0.00568181818181818,0.00568181818181818,0.192440232959983,7473,"tags=38%, list=10%, signal=35%","UMOD/FCGRT/FCGR2A/FCGR2B/FCER1G"
"GO:0043306","BP","GO:0043306","positive regulation of mast cell degranulation",14,-0.829559664599288,-1.65912044061539,0.00754716981132075,0.00754716981132075,0.219214526241372,2515,"tags=50%, list=3%, signal=48%","VAMP8/IL4R/STXBP1/ADORA2B/FGR/FCER1G/GATA2"
"GO:0009111","BP","GO:0009111","vitamin catabolic process",16,-0.813273636066278,-1.66036014337092,0.00767754318618042,0.00767754318618042,0.219214526241372,8619,"tags=50%, list=11%, signal=45%","CYP26B1/MTHFS/CYP27B1/CYP4F8/CYP4F12/CYP4F3/CYP4F11/CYP4F2"
"GO:0070942","BP","GO:0070942","neutrophil mediated cytotoxicity",18,-0.790140956110866,-1.66188086470236,0.00569259962049336,0.00569259962049336,0.192440232959983,7727,"tags=61%, list=10%, signal=55%","ARG1/CXCL6/MYD88/DAO/F2RL1/DNASE1L3/POMC/TREM1/CTSG/AZU1/ELANE"
"GO:1903556","BP","GO:1903556","negative regulation of tumor necrosis factor superfamily cytokine production",83,-0.620678986938799,-1.6629455385159,0.0017825311942959,0.0017825311942959,0.146567851847429,11276,"tags=37%, list=14%, signal=32%","HSF1/IRAK3/GSTP1/AXL/GAS6/MC1R/HAVCR2/CIDEA/IGF1/GPNMB/NR1H4/ZC3H12A/SELENOS/PTPN6/ARRB2/CHRNA7/IL27RA/LILRA4/POMC/RARA/IL4/TSPO/THBS1/SIRPA/ORM1/LTF/LBP/TWIST1/BPI/C5AR2/GHSR"
"GO:0048661","BP","GO:0048661","positive regulation of smooth muscle cell proliferation",98,-0.603062333037809,-1.6637456375889,0.00176991150442478,0.00176991150442478,0.146567851847429,9223,"tags=37%, list=12%, signal=32%","IL6/BMP4/GNAI2/IGF1/FGF2/ITGA2/AKT1/JUN/JAK2/MYD88/MFN2/ID2/DDR2/S1PR1/IL6R/CYBA/STAT1/HES5/BMPR1A/RGCC/ERN1/SMPD3/THBS1/FGFR2/HMOX1/RBPMS2/PDGFD/P2RY6/MMP9/PRKCA/HPGD/NOTCH3/EREG/ADAMTS1/MMP2/ELANE"
"GO:0032371","BP","GO:0032371","regulation of sterol transport",79,-0.619909459694024,-1.66422738398988,0.00177619893428064,0.00177619893428064,0.146567851847429,8872,"tags=33%, list=11%, signal=29%","NR1H2/SREBF2/SCP2/CETP/ABCA7/NR1H3/APOC3/OSBPL6/SHH/FURIN/ABCA3/TTC39B/PLTP/EEPD1/RXRA/PCSK9/TSPO/ABCA13/LRP1/PON1/APOC1/CES1/ABCA5/APOA2/PPARG/CAV1"
"GO:0032374","BP","GO:0032374","regulation of cholesterol transport",79,-0.619909459694024,-1.66422738398988,0.00177619893428064,0.00177619893428064,0.146567851847429,8872,"tags=33%, list=11%, signal=29%","NR1H2/SREBF2/SCP2/CETP/ABCA7/NR1H3/APOC3/OSBPL6/SHH/FURIN/ABCA3/TTC39B/PLTP/EEPD1/RXRA/PCSK9/TSPO/ABCA13/LRP1/PON1/APOC1/CES1/ABCA5/APOA2/PPARG/CAV1"
"GO:0070266","BP","GO:0070266","necroptotic process",48,-0.670995589507866,-1.66457170539031,0.00526315789473684,0.00526315789473684,0.192440232959983,11779,"tags=46%, list=15%, signal=39%","CASP8/BOK/RIPK3/IPMK/RBCK1/ADPRS/ITPK1/BIRC2/PPIF/PELI1/FASLG/CASP6/CFLAR/TLR3/MLKL/BIRC3/FAS/ZBP1/PRKN/FZD9/PYGL/CAV1"
"GO:0033574","BP","GO:0033574","response to testosterone",43,-0.683634291227926,-1.66480324289447,0.00710479573712256,0.00710479573712256,0.216718131015334,5499,"tags=33%, list=7%, signal=30%","GNRH1/NCOA4/HMGCS2/CFLAR/GBA1/NKX3-1/EPO/TSPO/THBS1/CALR/AARD/AVP/GPI/AR"
"GO:1903307","BP","GO:1903307","positive regulation of regulated secretory pathway",48,-0.671505906323885,-1.66583767337284,0.00526315789473684,0.00526315789473684,0.192440232959983,4684,"tags=50%, list=6%, signal=47%","LAMP1/CD160/RPH3AL/RPH3A/DOC2A/VAMP8/UNC13D/SCAMP5/KLRC2/F2RL1/CD177/RAB3D/IL4R/STXBP1/ADORA2B/RAB27A/FGR/ITGAM/ITGB2/HYAL3/FCER1G/DOC2B/NLGN1/GATA2"
"GO:0001911","BP","GO:0001911","negative regulation of leukocyte mediated cytotoxicity",31,-0.730239302330497,-1.66890000881677,0.0036563071297989,0.0036563071297989,0.160061400112748,11452,"tags=55%, list=15%, signal=47%","HLA-E/TGFB1/SERPINB4/CRK/HAVCR2/NECTIN2/KLRC1/PTPRC/TIGIT/ARRB2/KLRD1/KIR2DL4/CX3CR1/NECTIN4/HLA-G/FCGR2B/CLEC12B"
"GO:0097300","BP","GO:0097300","programmed necrotic cell death",61,-0.646899942559568,-1.66921889968201,0.00355871886120996,0.00355871886120996,0.160061400112748,13623,"tags=46%, list=17%, signal=38%","NUPR1/CASP8/BOK/ALKBH7/RIPK3/IPMK/RBCK1/ADPRS/MAP3K5/NINJ1/ITPK1/BIRC2/PPIF/PELI1/FASLG/CASP6/CFLAR/TLR3/MLKL/TSPO/BIRC3/ASAH1/FAS/ZBP1/PRKN/FZD9/PYGL/CAV1"
"GO:2001204","BP","GO:2001204","regulation of osteoclast development",11,-0.877226160450313,-1.67209996153664,0.00386100386100386,0.00386100386100386,0.160061400112748,2014,"tags=55%, list=3%, signal=53%","LTF/NOTCH2/CLDN18/TYROBP/FBN1/TNFSF11"
"GO:0030225","BP","GO:0030225","macrophage differentiation",73,-0.626285413283415,-1.67323528535761,0.00176678445229682,0.00176678445229682,0.146567851847429,11319,"tags=51%, list=14%, signal=43%","IL34/HSF1/TGFB1/HCLS1/CDC42/CEBPA/VPS13A/BMP4/IL1RL1/SPI1/VPS54/MYD88/IL31RA/GATA3/ID2/NAGLU/DIAPH3/CSF1R/FOSL2/CSF1/INHA/IGHE/CFLAR/GBA1/TLR2/NKX2-3/TRIB1/LIF/APP/IL15/MMP9/PRKCA/INHBA/CD4/TSPAN2/VEGFA/GATA2"
