"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PROM1",6.59815863180665,5.19184840049922,5.77527581232107,0.000531472658600971,0.0374737582540394,0.312848830384567
"CYP46A1",5.88899111012222,0.708190048567024,7.90498147711815,6.83481877506871e-05,0.0156225526226093,1.84088330922386
"AIFM2",2.2872577060213,2.58589224659789,5.16892089949319,0.00105011832563059,0.0466351041892185,-0.37105144603569
"OFD1",1.64540342281936,6.42797278072663,5.1629275533902,0.00105747230105782,0.0466351041892185,-0.553422579214634
"GPM6B",5.34939934866905,3.4650280140331,5.91504544657088,0.000457351224759164,0.0365459932774616,0.461217095651663
"HDAC9",1.69038034881432,7.39331325318283,5.835674270694,0.000497922759381531,0.0371157121209447,0.21941706331689
"LAMA3",3.88574064079947,1.62386039869113,6.53895556829607,0.000240755561011852,0.0270590628600227,1.01133272144816
"MYLK",6.88541303488027,1.96831546008835,7.31741112220605,0.000114854289891246,0.0196342925988034,1.59399014034074
"SLC9A7",2.2564648291565,6.60206819993404,6.8275514160077,0.000181630691430665,0.0233498969664172,1.27427802229402
"MEF2C",3.4692785802744,7.17986511931502,5.87597771185574,0.000476843498362712,0.0366365963776077,0.310922388177583
"EFNB1",3.5478544752809,2.60523771510816,5.11151026064245,0.00112294666690793,0.0470890870530544,-0.401572649633373
"CD200",3.71679276706628,2.12897069251536,5.3994289044441,0.000805929088061101,0.0415804809401121,-0.074692586807017
"BLNK",5.38708768396782,6.17282172449691,9.48816696036546,1.94701798401576e-05,0.0129553486500286,3.48934216746514
"TLL2",4.43193265472231,1.77099708692155,5.67376773738336,0.000593647740154172,0.0387498296568166,0.21398739202123
"ZNF423",8.29759481337982,2.4613910813904,10.2006336569876,1.17216774539045e-05,0.0129553486500286,3.3291006592258
"ENG",2.6565509058865,4.57984113907323,5.22924963926223,0.000979153506935137,0.0451887570471774,-0.353300196153828
"DNTT",11.4145731011857,2.7442718307094,11.829722643491,4.09524658939518e-06,0.0129553486500286,3.84900724149905
"KAZALD1",5.18283538334737,-1.17655679332096,5.05896441985205,0.00119450344770393,0.0481183834388933,-0.632224800971989
"RASD1",3.67706878537103,2.06710545219102,5.05110988779037,0.00120562467088536,0.0483470600493035,-0.453684105579615
"POU2AF1",3.52679610949991,5.93605347256654,5.34531797693874,0.000857031775795483,0.0426273775428056,-0.299370719272017
"BCL7A",3.67050074022031,6.35488975049158,5.50785147415229,0.000713362236186391,0.0402558339542333,-0.0987815842004904
"MSH6",4.00887866581928,6.13143786836145,5.0848718621116,0.00115861433085458,0.0476155380456055,-0.593296856447137
"SH3TC1",2.07953865105562,5.32835338993042,6.07500914651164,0.000386264668405545,0.0347689475636018,0.546263900719869
"AHDC1",2.79348549573005,5.43453617365328,5.45259229090729,0.000758980438769969,0.0405827497155983,-0.159681645344362
"VPREB3",4.51936357150445,3.21758935484267,5.25634292226564,0.000949018644784773,0.0443813477950727,-0.303389910282466
"CGNL1",4.87479730515578,0.128719586876049,5.26241292979455,0.000942408395704406,0.0443813477950727,-0.29086271280263
"PUDP",2.03880359669695,6.08467558989247,5.16040863197635,0.00106058000235209,0.0466351041892185,-0.542244514206943
"PLVAP",3.81144373869078,1.40715245936057,6.49680426320751,0.000251064464857622,0.0277576326554272,0.986495728601714
"SLC41A1",2.22191138625296,4.41663179152618,5.40339038827181,0.000802322237597348,0.0415308938408215,-0.193880350456467
"MYO18B",6.6916403617836,2.79791627231115,6.01876079309793,0.000409757974688085,0.0354785644397825,0.561848942543943
"ANKRD16",2.24877331742178,3.52605725448303,5.02228064280232,0.00124743159455548,0.0491792653644227,-0.566857113866889
"EPHA7",10.1171747105285,-0.315707439858315,6.81920803424012,0.000183093357304993,0.0233498969664172,0.774252107904449
"FLNB",2.29456673403223,7.33392195468665,5.61140078755244,0.000635821507699897,0.0393952904948245,-0.0197483803303333
"TNS3",1.75576907128293,6.98100099442236,5.09936098137037,0.00113906174951862,0.0470890870530544,-0.639638856895078
"FPGS",1.83197706337981,5.87494428763211,5.37596718139904,0.000827661140897007,0.0417794307426,-0.288988577629906
"SHROOM3",7.7429949841091,0.270076858743292,5.76105059677404,0.000539734118292953,0.0374737582540394,0.148352353434187
"LGR5",8.13970993721996,0.652569752584473,8.96726797446919,2.88229723136063e-05,0.0129553486500286,2.3661778951083
"NEIL1",2.81343526178889,4.59157991040126,5.16081696186557,0.0010600755453934,0.0466351041892185,-0.483237038986417
"SEMA6C",2.89880055830773,2.41669540671152,5.94246311193288,0.000444199639088769,0.0365147026359933,0.484810193886457
"DYRK3",2.57887480512218,4.76439369263755,5.76423088367103,0.00053787485322425,0.0374737582540394,0.216262576100201
"AFF3",2.76906221816868,9.44336063584658,5.36437454931,0.000838637409657248,0.0420365173382323,-0.272127384606875
"ACKR3",3.16232032818562,1.7612084245295,5.2850466713729,0.000918204354585227,0.0441584661591661,-0.196030721487674
"SCD5",3.13657626444969,3.62851334200206,5.84370135860075,0.000493643431458479,0.0371157121209447,0.355060877384565
"GNA12",2.80428623374913,6.42707341028641,5.41914686735682,0.000788151782018034,0.0411112094912638,-0.228753760459468
"CRIM1",2.74565685623354,7.17894117683431,5.5016542330727,0.000718324127483001,0.0402558339542333,-0.144025330291244
"IGSF10",5.10080129067859,1.16257898682852,6.36651645023071,0.000286167383941892,0.0300077478944841,0.813542333857629
"PLEKHG4B",6.58923676121056,0.566457774521413,5.10635000996259,0.00112976045558696,0.0470890870530544,-0.390575289016592
"UBASH3B",3.5430235513252,8.7050998099282,5.70991191122965,0.000570630043192984,0.038141217141841,0.108145220304938
"TMPRSS15",9.61840665779546,0.869445585664179,5.63375758847979,0.000620333566846713,0.0393129151101641,0.136394227596575
"PTPRN2",3.56959242720082,4.98995921697136,5.22688515841756,0.000981833093194337,0.0451887570471774,-0.356349776747011
"PIK3AP1",1.97886490947313,8.89851041708681,5.11991620723507,0.00111194386845,0.0470890870530544,-0.601769286425135
"CD109",3.96500382053788,5.10017782921113,5.78097980311526,0.000528199439317372,0.0374737582540394,0.282039809024876
"PALM2AKAP2",1.42801563694263,8.10695602308467,5.11037191789824,0.00112444587664897,0.0470890870530544,-0.619990485522257
"CFAP251",4.55709032192888,4.57855330099193,5.67908848155073,0.000590195703564717,0.0387301651536034,0.143660601630512
"ICOSLG",3.01662688514814,4.0396814017765,5.49333648175216,0.000725043911772603,0.0405207920252474,-0.0684161000878021
"LRRC38",6.78552939934062,-0.848467107609332,5.74406118045818,0.000549787910994656,0.0378908777824779,-0.0955960253917842
"DHRS3",3.43575888999362,4.48852498605597,5.46974818227347,0.000744481555774976,0.0405827497155983,-0.0865412111068737
"EBF1",5.13638865495455,8.7375588484228,5.69183995905812,0.000582012809135911,0.0384411901826358,0.102802483663344
"BAALC",4.51765224474968,2.69981260876183,5.61136559166049,0.000635846225009578,0.0393952904948245,0.148992419130147
"RAG1",5.86677467922767,3.0266461478715,6.57490735382758,0.000232334492067556,0.0265526998434286,1.07759813202314
"CYB5R2",5.59581495004379,2.59276927252054,8.84506105432032,3.16903609094949e-05,0.0129553486500286,2.731445139486
"RIMKLB",1.70420820687825,5.8230848959715,5.65041494978033,0.000609065437060814,0.0390274014235724,0.0335464716405127
"GREM1",8.47363275760108,0.415703134313869,7.35821228022927,0.000110672350797518,0.0192428002758454,1.30343516913422
"SMAD3",1.43139384397783,7.85064456191685,5.06524893403217,0.00118568653113524,0.047994621264768,-0.683117473849378
"PTK2",3.26229526661418,6.38928359808055,5.73917805604307,0.000552715846864485,0.0378908777824779,0.150243756839195
"NPR1",7.78729029880427,-1.08362014857905,7.99212777156996,6.34524283318016e-05,0.0150094505762074,1.28057335067534
"VPREB1",6.97143910399847,0.468947859367867,6.29561345739493,0.000307542542605586,0.0310102020015836,0.567774595176942
"SLC23A1",2.71747556302459,4.0119154716338,5.03200458124169,0.00123315466063289,0.0489007120102432,-0.597467188530191
"PRKCE",2.41735051979744,9.70298192547683,5.0617706866718,0.00119055748167681,0.0480545850193478,-0.650293789105695
"VAT1L",10.3601120796633,1.15114688178959,5.44163687504617,0.000768402290114813,0.0405827497155983,-0.0518057368998228
"SLC9C1",2.57495423638451,2.77310003768221,5.57775238473531,0.000659944845140366,0.0394594534101446,0.0912364746408567
"RAG2",9.96116063445451,-1.80047401212827,5.45331471674937,0.000758363642119126,0.0405827497155983,-0.788315362040732
"CLEC14A",8.11912070300614,0.121384570954667,6.43560295168226,0.000266918294524467,0.0286636013514615,0.639918957565046
"GNG7",2.03916165588573,7.26712084204552,6.0787528907788,0.000384754940904707,0.0347689475636018,0.491402646749941
"DSCAML1",4.59346022689399,3.72756815830731,6.37924382022285,0.000282508183649254,0.0298099010211549,0.91217638281632
"APOLD1",2.68038144746172,6.27573417452869,5.24682057866967,0.00095949179496464,0.0447682146444167,-0.411525851317498
"CIITA",2.55289064024111,5.49047654450454,5.22325528532513,0.000985962457226428,0.0452763753213481,-0.42227987828621
"LRRC3B",6.55010103924436,-1.43020593449018,5.25943654554485,0.000945643314339308,0.0443813477950727,-0.56513291967749
"FGD6",2.56072251404893,5.0222993628305,6.89547992046932,0.000170195577999631,0.0230334114383629,1.38364869422488
"LINC02363",3.30007427489262,2.97618353863611,6.30543391245386,0.000304478715842604,0.0309700525819305,0.849958050415877
"GPR137C",2.78331727061386,3.72086104933232,6.13669624242803,0.000362204718874681,0.0341126416484613,0.666477024111495
"OVCH2",9.70676529581839,1.52295723454678,10.0274049051447,1.32222471809205e-05,0.0129553486500286,2.90881431055157
"HMCES",1.7908321651462,5.89987797783323,5.54749404396071,0.000682504674839414,0.0396691217150234,-0.0914496869565307
"MAP7D2",3.2405749754274,2.44462919673823,6.32508749314413,0.00029844851994415,0.0306633244506254,0.868273977508654
"SEPTIN9",1.63046073272126,8.69846065208582,5.4159979324838,0.000790961492012203,0.0411522496982206,-0.240885159305993
"DIPK1C",9.23136030176995,-0.970309376308683,8.28551079767489,4.96421484396826e-05,0.0136166303248262,1.16842401230467
"PAX5",4.29136721916062,8.02393070153947,5.21338040315543,0.000997293428668806,0.0455666995224386,-0.471374261734375
"ADA",2.21272149134171,4.80251229481687,5.15420477494237,0.0010682769774456,0.0466351041892185,-0.491859525169318
"OPALIN",9.50214783334578,-0.0142014624897843,7.62175886293855,8.74288532963583e-05,0.0182873102079993,1.13358878584707
"MFAP5",4.34306663632981,-0.565623818341665,5.25811001027848,0.000947089020038236,0.0443813477950727,-0.316142552223853
"LCN8",9.04686407815035,-1.81753222911711,6.17625866129849,0.000347652319468902,0.0335179674642459,-0.255417223736528
"HLA-DOA",2.59612793609369,4.33982830452878,5.15488284187781,0.00106743272706481,0.0466351041892185,-0.454504551946805
"LINC01257",4.98757281613127,-0.588142325147428,4.99862410405086,0.00128293022397346,0.0498720929396281,-0.687394490372525
"XKR4",6.39793705424716,1.21566024726974,5.83931341658227,0.000495977616030155,0.0371157121209447,0.313134727736728
"IGHD",2.72242019174057,4.6982246926049,6.74799223737492,0.000196126592454423,0.0241903814921889,1.23740265658522
"NEURL1B",3.42181757636026,3.56270554054758,5.51402227436926,0.000708459145062471,0.0402558339542333,0.0207145524142849
"ENSG00000225172",7.35630676837231,1.23276131436389,5.04826098851326,0.00120968655385614,0.0483470600493035,-0.470810413727839
"TEX41",4.74848908646659,3.87355181475148,5.169585784208,0.00104930597634044,0.0466351041892185,-0.393639932115864
"SLC8A1-AS1",5.87309742965461,3.04415203416946,8.30485052075293,4.88577270090586e-05,0.0136166303248262,2.46823416657803
"LINC01013",8.71862640137987,3.81911369771061,9.96231715443095,1.38409865136435e-05,0.0129553486500286,3.45106103030415
"ENSG00000229418",8.18551377850496,-0.352323206124229,8.21163944579667,5.27710294100035e-05,0.0137630904011244,1.40919602799454
"ENSG00000229771",7.52335186623551,-0.028672201333638,7.8065792170969,7.43914808848286e-05,0.0162227422637033,1.64601582619213
"XIST",13.3345398129418,0.958435510255804,6.85664483350954,0.000176631381034489,0.0230334114383629,0.772480106440083
"BZW1-AS1",3.41287377369069,3.14220883099764,5.76753337393955,0.000535951653173965,0.0374737582540394,0.297162186432347
"LINC00865",5.4098828019954,4.90589824526097,5.93523453465847,0.000447625805518259,0.0365147026359933,0.437864709359039
"LINC01762",2.54786488752747,2.69534189294285,5.09778195350951,0.00114117484722783,0.0470890870530544,-0.439881568263997
"ENSG00000233359",4.5726772081581,0.405977118516487,5.45980823437871,0.000752844373855702,0.0405827497155983,-0.0554186924938227
"LINC01250",4.63229324979675,4.21147732401303,6.88304825032849,0.000172226858883187,0.0230334114383629,1.38641136787136
"ENSG00000234630",2.83110826203207,1.20501851041447,5.42706327048062,0.000781136775595143,0.0410611509714005,-0.0466856568513734
"LINC01221",6.78615715867763,2.14161941376211,5.45616254993511,0.000755937594406191,0.0405827497155983,-0.0185875610256003
"BAALC-AS2",5.53405849883476,0.27608700287537,5.12744150271961,0.00110219447758377,0.0470890870530544,-0.42135670619726
"LINC00426",3.7176007233349,5.86224290615981,7.43852972097045,0.000102928119307831,0.0190514965223168,1.88286608318616
"ENSG00000241666",3.20767288673613,4.52968833744809,6.66195750560765,0.000213270792336593,0.0253717411023585,1.17842994400547
"AOX3P",3.08533669084522,1.6148642483044,5.50455781028377,0.000715994610193255,0.0402558339542333,0.03489692475467
"LINC02945",7.92664149197928,1.07380645101418,5.28002957959028,0.000923509757036577,0.044239080501218,-0.216073762019785
"ENSG00000249881",8.36258326396113,3.28178725521527,8.73801090494275,3.44670496529216e-05,0.0129912569915056,2.73486499188765
"LINC00958",7.61576407823038,0.142343520520335,6.65489878773141,0.000214749882959531,0.0253845448608064,0.927083405794697
"MAILR",2.40922279705535,5.21398253958196,5.80992810488589,0.000511928236213349,0.0374737582540394,0.245652569385132
"MIR3142HG",4.05376749599657,3.70195118325114,5.48157156963372,0.000734667582085537,0.0405827497155983,-0.049575751031405
"ENSG00000253673",8.19455744010195,4.76805559607289,6.63172110351043,0.000219687516649712,0.0256845008689947,1.16321529978473
"ENSG00000254135",4.75240552045855,-0.539366958453428,5.718825740937,0.000565106569767095,0.038141217141841,0.0749099503245674
"RASSF10-DT",6.01741698332278,-1.56176156517168,5.67246687773555,0.000594495119907383,0.0387498296568166,-0.357164862701426
"ENSG00000254777",2.29957268697327,5.21900917921741,5.98459592958917,0.000424799708831184,0.035857678326775,0.444633910578404
"ENSG00000256469",2.40539472223467,2.23755738928006,5.59556703137908,0.000647049337721465,0.0394185603214684,0.116501894531384
"ENSG00000257275",6.05934061901517,2.55647669332825,5.29593184464489,0.000906808924890609,0.043745635051681,-0.190711853565225
"ENSG00000259072",7.38347317444048,0.0332954288217297,5.92507152977671,0.000452492508118348,0.036527996399411,0.157698585974805
"LINC01480",2.82081422713995,2.36697213465697,6.06212024092199,0.00039151286202569,0.0350038672024339,0.608740190646427
"TSIX",6.80603262694141,-2.50672537793211,5.95442791595552,0.000438592370281889,0.0365147026359933,-0.39955692047864
"MMP28",5.38567954983409,-0.0136158126440236,5.78841866672369,0.000523964185331908,0.0374737582540394,0.19158743898761
"ENSG00000271758",8.79656724872844,2.34975538684994,8.26943447035404,5.03049588096784e-05,0.0136166303248262,2.22137695004995
"ENSG00000272733",4.23208448213534,0.157835813805858,6.11727540035275,0.000369595016772534,0.0341757792100167,0.529528089805159
"LINC02227",7.05159849193204,1.95340770037955,5.58822290236524,0.0006523314516304,0.0394185603214684,0.0921922424677017
"ENSG00000279278",3.64579916114998,2.90061503777976,5.89003386614796,0.000469726226177056,0.0366365963776077,0.436337746493863
"ENSG00000279493",4.19297048766942,0.516764312302018,5.00710339312567,0.001270080114971,0.0495766329679548,-0.504156968675304
